"Table A4: Current Price (unsmoothed) GVA (B) per hour worked (£); Combined Authorities and Economic Enterprise Regions, 2004 - 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Including UK figures for comparison purposes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
area_code,area_name,Pounds_2004,Pounds_2005,Pounds_2006,Pounds_2007,Pounds_2008,Pounds_2009,Pounds_2010,Pounds_2011,Pounds_2012,Pounds_2013,Pounds_2014,Pounds_2015,Pounds_2016,Pounds_2017,Pounds_2018,Pounds_2019,Pounds_2020,Pounds_2021,Pounds_2022,Pounds_2023,,,,,,,,,,,,,,,,
UKX,United Kingdom less Extra-Regio,24.8,25.7,26.8,27.9,29.0,29.1,29.9,30.2,30.6,31.3,31.9,32.8,33.2,34.4,35.2,36.0,38.9,38.6,40.9,44.4,,,,,,,,,,,,,,,,
E47000001,Greater Manchester,22.1,23.0,24.3,25.8,26.4,26.8,27.2,27.4,28.2,28.7,28.4,29.8,29.7,31.1,31.4,31.8,36.7,34.5,38.7,43.2,,,,,,,,,,,,,,,,
E47000002,South Yorkshire,20.2,20.6,22.0,23.6,24.0,24.0,24.9,24.6,25.5,26.8,25.7,26.6,26.8,27.8,27.5,28.8,30.8,30.7,32.8,36.2,,,,,,,,,,,,,,,,
E47000003,West Yorkshire,21.8,23.0,24.1,25.4,25.9,25.8,26.1,26.8,26.8,26.8,27.8,28.6,28.3,29.6,30.3,30.9,33.7,33.5,36.3,40.1,,,,,,,,,,,,,,,,
E47000004,Liverpool City Region,23.1,23.5,25.1,25.8,26.5,28.2,28.5,28.6,27.5,28.8,28.5,29.7,29.8,30.0,30.9,30.2,34.5,34.9,35.7,40.0,,,,,,,,,,,,,,,,
E47000006,Tees Valley,22.3,23.5,24.1,24.7,25.5,26.4,26.3,27.2,27.5,28.0,28.9,30.3,30.9,30.5,30.9,31.4,33.7,31.7,34.8,37.6,,,,,,,,,,,,,,,,
E47000007,West Midlands,21.9,22.4,22.9,23.4,25.1,25.5,26.3,26.7,27.0,27.0,28.3,28.2,30.2,31.3,31.6,31.8,33.7,34.0,35.1,37.1,,,,,,,,,,,,,,,,
E47000008,Cambridgeshire and Peterborough,26.2,26.0,26.3,27.4,28.4,28.0,29.0,30.6,31.3,30.2,31.2,30.9,31.7,32.9,33.4,33.8,38.1,38.2,39.2,42.3,,,,,,,,,,,,,,,,
E47000009,West of England,24.1,24.3,25.3,26.8,29.2,29.2,30.4,29.9,31.3,30.4,31.7,33.3,34.5,34.8,34.9,35.8,37.2,38.9,40.2,45.2,,,,,,,,,,,,,,,,
E47000012,York and North Yorkshire,25.3,24.6,25.3,26.3,27.3,25.7,25.8,26.9,26.6,27.1,27.2,27.5,28.7,30.9,29.3,32.3,35.9,36.6,38.3,38.8,,,,,,,,,,,,,,,,
